Word,Meaning,Example,Note,Tag,Source,Date
boost,increase or improve,You will boost sales if you increase advertising.,,,,"October 21, 2022 3:46 AM"
engage,occupy or attract our attention,Beautiful people engage our attention,,,,"October 21, 2022 3:47 AM"
workload,an amount of work to be done,My current workload keeps me very busy.,,,,"October 21, 2022 3:47 AM"
elaborate on,,Can you elaborate on,,,,"October 21, 2022 3:49 AM"
put together,,I could put together a report if you think it would help.,,,,"October 21, 2022 3:49 AM"
clarify,,Can you clarify?,,,,"October 21, 2022 3:49 AM"
sort out,just to sort out some final details,,,,,"October 21, 2022 3:49 AM"
off the clock,,We are off the clock. Let’s not talk about the work,,,,"October 21, 2022 3:50 AM"
wrap up,,At this point the meeting is wrapping up and hopefully you have been able to make good suggestions,,,,"October 21, 2022 3:50 AM"
comedy,,,,,,"October 21, 2022 3:51 AM"
not necessarily,"possibly, but not certainly (반드시 ..은 아니다, 꼭 그런것은 아니다)",Is it always so difficult? Not necessarily.,,,,"October 21, 2022 3:51 AM"
eligible,자격이 있는,All members are eligible to vote.,,,,"October 21, 2022 3:51 AM"
legwork,"work that involves much traveling to collect information, especially when such work is difficult but boring","Can you get it done by next week? It’s gonna take a lot of legwork, I need more time",,,,"October 21, 2022 3:51 AM"
bear,"to accept, tolerate, or endure something, especially something unpleasant",Please hear with me for a while (please wait while solving the current issue),,,,"October 21, 2022 3:52 AM"
affair,"a situation or subject that is being deal with or considered a sexual relationship, especially a secret one",,,,,"October 21, 2022 3:54 AM"
stroll,to walk somewhere in a slow relaxed way,,,,,"October 21, 2022 3:54 AM"
inept,(adjective) not good at doing something,"Peter was inept and lacked the intelligence to govern(통치하다, 다스리다).",,,,"October 21, 2022 3:55 AM"
braids,a hairstyle where hair is twisted together,My sister helped to put my hair in braids.,,,,"October 21, 2022 3:55 AM"
embrace,hug (포옹하다),Brenda greeted her grandmother with a warm embrace.,,,,"October 21, 2022 3:56 AM"
stream,play movies/music online,I use this website to sream movies on my tablet.,,,,"October 21, 2022 3:56 AM"
alarming,worrying,George read some alarming news on his laptop - the Earth's climate(기후) is warming up!,,,,"October 21, 2022 3:56 AM"
ruthless,having no morals(도덕),Joe was a ruthless businessman who would do anything to succeed.,,,,"October 21, 2022 3:57 AM"
reckon,think,I reckon it's going to rain.,,,,"October 21, 2022 3:57 AM"
grin,smile,Why is he grinning?,,,,"October 21, 2022 3:57 AM"
outgoing,enjoys being with other people,Jenny is such a fun and outgoing person.,,,,"October 21, 2022 3:57 AM"
soaked,completely wet,The kids got soaked playing in the rain.,,,,"October 21, 2022 3:58 AM"
gasbag,(noun) a person who always talks too much,Are you sure we should invite Sarah? She's such a gasbag that no one else will have a chance to say anything.,,,,"October 21, 2022 3:58 AM"
swift,fast,Every cowboy needs a swift horse.,,,,"October 21, 2022 3:58 AM"
dilemma,"a difficult choice, a difficult situation",Sarah faced a dilemma.,,,,"October 21, 2022 3:58 AM"
crisis,emergency situation,There was a crisis at the office today.,,,,"October 21, 2022 3:59 AM"
frail(쇠약한),Not physically strong,Grandpa is a little frail these days.,,,,"October 21, 2022 3:59 AM"
strenuous,requiring great effort,"Strenuous exercise is healthy, but be careful not to push yourself too hard!",,,,"October 21, 2022 3:59 AM"
essential,very important,It is essential for soldiers to be physically fit.,,,,"October 21, 2022 4:00 AM"
deny,to refuse responsibility for something,Charlie denied that he stole the money.,,,,"October 21, 2022 4:00 AM"
voracious,"very eager(열망하는) for something, especially a lot of food",Kids can have voracious appeties.,,,,"October 21, 2022 4:00 AM"
atrocious,terrible,The coffee here is atrocious!,,,,"October 21, 2022 4:00 AM"
sheepish,suddenly shy,Janice gets very sheepish around attractive guys.,,,,"October 21, 2022 4:01 AM"
handy,useful,This bag is handy for carrying my laptop.,,,,"October 21, 2022 4:01 AM"
leverage,advantage,Our superior supply chain gives us great leverage in our industry.,,,,"October 21, 2022 4:02 AM"
accordingly,in a way that is appropriate to the particular circumstance,It's your cousin's movie premiere. We should dress accordingly.,,,,"October 21, 2022 4:02 AM"
have a shot,"To have a chance to achieve, attain, or have success in something",Do you really think I have a shot at this pormotion?,,,,"October 21, 2022 4:02 AM"
anxious,worried,Maria was anxious that he might say no.,,,,"October 21, 2022 11:00 PM"
ad-hoc,"made or happening only for a particular purpose or need, not planned before it happens","We deal with problems on an ad hoc basis. (그때그때, 상황에 따라)",,,,"October 22, 2022 2:43 AM"
audition,a test performance an actor makes when trying to get a role in a play or movie.,after the audition,,,,"October 30, 2022 2:41 AM"
To be missing something,"to not have something, to be lacking something.",Ok it’s missing something.,,,,"October 30, 2022 2:42 AM"
purse,"a woman’s bag, usually made from leather used to carry money, and personal belongings.",really a purse?,,,,"October 30, 2022 2:44 AM"
odd,"to be strange, uncommon, or in this case unexpected",But it’s odd,,,,"October 30, 2022 2:45 AM"
doppelgangers,someone that looks very similar to another person (not a common expression),,,,,"November 1, 2022 5:16 AM"
eery,causing an inexplicable feeling of weirdness or even fear,It was an eery coincidence to see him again,,,,"November 1, 2022 5:16 AM"
look-alike,someone who looks like or resembles another person,,,,,"November 1, 2022 5:16 AM"
stripper,a person who removes their clothes in a exciting way,,,,,"November 1, 2022 5:16 AM"
eager (to do / -ing sth),enthusiastic about doing something,,,,,"November 1, 2022 5:16 AM"
turn out,"happen in a particular way, have a result",,,,,"November 1, 2022 5:16 AM"
it stands to reason,it’s obvious from the facts,,,,,"November 1, 2022 5:16 AM"
(it’s) go time,the planned start time for something specific,,,,,"November 1, 2022 5:17 AM"
(it’s a) deal,have an agreement/contract,,,,,"November 1, 2022 5:17 AM"
to leave up to,to give permission and responsibility to decide something,,,,,"November 1, 2022 5:17 AM"
boom,used to affirm something surprising or unexpected,,,,,"November 1, 2022 5:17 AM"
universed,a verb Marshall invented for the action of universe,,,,,"November 1, 2022 5:17 AM"
hassle," ",It’s too much hassle with the company,,,,"November 1, 2022 11:10 PM"
would think,"a way of saying “that would make sense, but no.”","You would think it’s cheaper, but it’s more expensive.",,,,"November 2, 2022 5:54 AM"
be familiar with,having a general understanding or knowledge about something,"Even though I’ve been here for over 10 years, I’m still not totally familiar with this city.",,,,"November 2, 2022 5:55 AM"
paradigm,"a pattern of something, a typical example or set of ideas.","I would think, as a waitress, you’d be familiar with the paradigm.",,,,"November 2, 2022 5:56 AM"
crawl back,"to return to someone, admitting that you were wrong, and ask for forgiveness",I believe he is waiting for you to come crawling back to him and apologize.,,,,"November 2, 2022 5:57 AM"
not gonna happen,commonly used to say we won’t do something someone is asking us or trying to force us to do.,"Well, that’s not going to happen.",,,,"November 2, 2022 5:58 AM"
assume,"guess that something is correct without really knowing, to suppose",,,,,"November 2, 2022 6:00 AM"
beverage,any type of drink,Aren’t you going to ask me if I want a beverage?,,,,"November 2, 2022 6:01 AM"
you must be,to make an assumption(가정) to predict something to be true.,"He is waring a big jacket, he must be cold.",,,,"November 5, 2022 3:00 AM"
it’s been so long,to say you haven’t seen someone for a long period of time.,It’s been so long since I saw you.,,,,"November 5, 2022 3:01 AM"
setting up,"to assemble (조립하다), put together.",He spent 3 hours setting up the stage for the band.,,,,"November 5, 2022 3:01 AM"
tent,a portable shelter used for camping. (머무르는 곳),,,,,"November 5, 2022 3:01 AM"
in line,in a row waiting to proceed,,,,,"November 5, 2022 3:01 AM"
so you DID see me,we use did in an affirmation (확언) to show that something happened contrary (상반되는) to what you had thought or expected,,,,,"November 5, 2022 3:02 AM"
fiance,a man who is engaged to get married (약혼자),,,,,"November 5, 2022 3:02 AM"
stare,to be looking intensely (진지하게) at someone or something (…을 빤히 쳐다보다),If you stare at the sun you could damage your eyes.,,,,"November 5, 2022 3:03 AM"
you do a great Chandler,to copy or impersonate (흉내내다) how somebody acts or moves.,,,,,"November 5, 2022 3:03 AM"
have a knack for something,to have a special ability or talent for something,Some people seem to have a knack for making money.,get the knack (요령을 익히다),,,"November 5, 2022 3:03 AM"
to get reacquainted,to become friends again if you haven’t seen someone for a long time you.,Are you acquainted with him?,acquainted: 안면이 있는,,,"November 5, 2022 3:04 AM"
tutor,"a private teacher that helps students get higher grades, or prepare for tests. (개인교사)",,,,,"November 5, 2022 3:44 AM"
roadie,"the profession of setting up stages and lights for bands (we say
roadie because they generally travel ‘on the road’ with the band).",,공연시 장비들을 운반하는 사람,,,"November 5, 2022 3:45 AM"
make fun of,"to ridicule (…을 비웃다) or tease (놀리다) someone in an unkind, or even playful(장난스러운) way. (…을 놀리다, 조롱하다)",He made fun of the kid for making a mistake.,,,,"November 5, 2022 3:45 AM"
how that saying goes,"a ‘saying’ is an expression which usually has a moral(도덕적인), or an inspiring(고무적인) message.",,,,,"November 5, 2022 3:46 AM"
cops,an informal way to say police. (경찰),,,,,"November 5, 2022 3:48 AM"
the heat,another informal way to say the police,,,,,"November 5, 2022 3:49 AM"
clown,someone who is not being professional (짜증나는 사람),I am not going to buy a car from that clown,,,,"November 5, 2022 3:49 AM"
craigslist,"very popular online advertisement forum, here you can find literally (말그대로) anything.",,,,,"November 5, 2022 3:50 AM"
PHD,"a doctorate in any disipline except medicine, Doctor of Philosophy Degree.",,,,,"November 5, 2022 3:50 AM"
big deal,"used to show that you are unimpressed (특별한 인상을 받지 못한), often with a sarcastic(비꼬는) tone.",,,,,"November 5, 2022 3:51 AM"
I’ll pass,expressions to say you are not interested when someone offers you something.,Wanna come to the movies? I’ll pass,,,,"November 5, 2022 3:52 AM"
pita bread,a flat piece of bread originating in the middle east.,,,,,"November 5, 2022 3:53 AM"
hummus,"a thick paste or spread made from ground chickpeas and sesame seeds, olive oil, lemon, and garlic, made originally in the Middle East",,,,,"November 5, 2022 3:53 AM"
finals,"the end of year, or semester tests in high school and college.",,,,,"November 5, 2022 3:54 AM"
self loathing,"the feeling of hating yourself, and feeling depressed (우울해 하는)",,,,,"November 5, 2022 3:55 AM"
give something away,"to reveal (드러내다, 폭로하다) a surprise or an answer while someone is still trying to discover it.",,,,,"November 5, 2022 3:55 AM"
just so you know,expression used to clarify that everyone understands.,"Just so you know, I am going to be late for the meeting tomorrow.",,,,"November 6, 2022 3:59 AM"
If it means that much to you,to say that you will do something to please someone else,"Ok, if it means that much to you I will come to the party.",,,,"November 6, 2022 3:59 AM"
a ton,a lot (comes from the weight of 1000 kilograms),,,,,"November 6, 2022 4:00 AM"
left over,remaining food that didn’t get eaten,,,,,"November 6, 2022 4:01 AM"
you’re telling me,expression used to suggest that you don’t believe what someone is telling you.,You’re telling me that someone stole your bag?,,,,"November 6, 2022 4:01 AM"
a sitting,a period of time that you are seated and eating a meal.,It took them 3 sittings to finish the whole cake.,,,,"November 6, 2022 4:02 AM"
have no give,"to have no flexibility, not able to stretch",Joey’s jeans have no give so they feel really right.,,,,"November 6, 2022 4:04 AM"
a sliver,"a small, think, narrow piece of something cut or split off a larger piece",Can I have a silver of cheese for my sandwich?,,,,"November 6, 2022 4:04 AM"
run out of something,to have all been consumed,I have to go to the store because I ran out of coffee.,,,,"November 6, 2022 4:05 AM"
thanksgiving,(신에 대한) 감사,,,,,"November 6, 2022 4:06 AM"
turkey,칠면조,The farm breeds turkeys.,,,,"November 6, 2022 4:10 AM"
You are my Everest:,"to climb Mount Everest is a huge life accomplishment, Joey is comparing his challenge to climbing Everest.",,,,,"November 6, 2022 4:13 AM"
maternity pants,pants worn by women when pregnant (임신한) to support their big belly (복부). Joey is wearing them to support his big belly from eating turkey.,,임신때 입는 바지,,,"November 6, 2022 4:13 AM"
borrow money,To take money with the intention of returning it later.,,,,,"November 7, 2022 3:37 AM"
how much you used to make,Used to implies an habitual action that doesn’t happen anymore.,Chandler used to make $2000 a month at his old job.,,,,"November 7, 2022 3:37 AM"
I am on fire,Expression meaning that you are winning or getting everything right.,"He is on fire today, he already scored 3 goals.",,,,"November 7, 2022 3:38 AM"
boob job,breast implants,,유방 성형 수술,,,"November 7, 2022 3:39 AM"
don’t look at me,"Don’t ask me for the answer, I don’t know anything.",,,,,"November 7, 2022 3:39 AM"
get his jokes,to understand and find his jokes funny,"Sorry, I didn’t get the joke.",,,,"November 7, 2022 3:40 AM"
compliment,"To say nice things about someone’s appearance, or behaviour.",He complimented her on her driving skills.,…을 칭찬하다.,,,"November 7, 2022 3:40 AM"
just when you thought,Expression meaning someone unexpectedly passed their limits.,"Just when I thought he was finished, he played another song.",,,,"November 7, 2022 3:41 AM"
What brought that on?,What caused that to happen?,,,,,"November 7, 2022 3:42 AM"
freak out,"Get really nervous, anxious, and scared.",I freaked out when I saw the big spider.,,,,"November 7, 2022 3:43 AM"
honey,Affectionate name used by couples.,"Honey, have you seen my keys?",,,,"November 7, 2022 3:43 AM"
whether you like it or not,this will happen independent of you opinion.,I am going to quit my job whether you like it or not.,,,,"November 7, 2022 3:44 AM"
package deal,To buy something at a discount price because you get the whole package.,I got a package deal with these toothbrushes,,,,"November 7, 2022 3:45 AM"
If it means that much to you,"If you really want this, I will support it.",If it means that much to you I will go to the party.,,,,"November 7, 2022 3:46 AM"
get on board,"To agree with you, support what you are doing.",,,,,"November 7, 2022 3:47 AM"
shooting out of her,"Coming out really quickly, like a gun shooting.",The ketchup shot out of the bottle.,,,,"November 7, 2022 3:47 AM"
I’m out $4000,I have spent $4000,,,,,"November 7, 2022 3:48 AM"
proportioned,균형이 잘 잡힌,,,,,"November 7, 2022 3:55 AM"
dude,일상에서 남자들을 가리킬때 쓰는 말,,,,,"November 7, 2022 4:02 AM"
weirder,the comparative form of the adjective weird.,,,,,"November 7, 2022 4:03 AM"
pregnant,의미심장한,,,,,"November 7, 2022 4:06 AM"
ass,엉덩이,,,,,"November 7, 2022 4:07 AM"
blad‧der,방광,,,,,"November 7, 2022 4:08 AM"
giant,거대한,,,,,"November 7, 2022 4:11 AM"
buddy,"a synonym for friend, but is often used to talk to people you don’t know","Hey buddy, do you have the time?",,,,"November 12, 2022 5:41 PM"
the heck,exclamation used to emphasize a question,What the heck is this guy goding?,,,,"November 12, 2022 5:42 PM"
disgust,"to cause someone to fee sick, or offended",The way he treats his wife disgusts me.,,,,"November 12, 2022 5:42 PM"
cool it,"relax, calm down",,,,,"November 12, 2022 5:45 PM"
zippy,adjective to describe someone who is very energetic or moves very quickly,,,,,"November 12, 2022 5:45 PM"
throne,"a chair sat on by kings and queens, and even Santa.",,,,,"November 12, 2022 5:46 PM"
come in late,,I came in late to the whole smartphone revolution,,,,"November 22, 2022 4:40 AM"
raving about sth,To talk about something you enjoy or admire in an excited way,"If you rave about a book you just read, you’re telling people you think it’s great, or you’re giving it a rave review (excellent review).",,,,"November 22, 2022 4:46 AM"
binge-watch,"A binge is a period of excessive indulgence in an activity, for example, drinking alcohol or eating.
Binge-watching means to watch multiple episodes of a TV show, one after another without stopping",We all had huge hangovers from binge-drinking all weekend.,,,,"November 22, 2022 4:49 AM"
To be obsessed with sth/sb,"To be excessively interested in or worried about something or somebody, in a way that you are unable to stop thinking about it or them.",I’m obsessed with chocolate ice cream.,,,,"November 22, 2022 4:51 AM"
sth is going on,To be happening,The meeting has been going on for almost two hours now.,,,,"November 22, 2022 4:56 AM"
ahead of time,"If you do something ahead of time, you do it before the time it was planned for or expected","If you start the project ahead of time, you won’t be under as much stress.",,,,"November 22, 2022 4:58 AM"
doesn’t quite see,The word “quite” is used for adding intensity or certainly to a verb or adjective. It is less emphatic than the words “very” and “extremely”.,,,,,"November 22, 2022 5:01 AM"
"sort of ","To some extent, in some way or another, similar to “kind of”",I was sort of hoping to leave early today.,Do you know what I mean? Sort of .. 대층,to learn,,"November 22, 2022 5:04 AM"
grow up,"to become an adult ",I grew up in a small town in North Carolina.,,to learn,,"November 22, 2022 5:05 AM"
twist somebody’s arm,"〘일상어〙 ⋯에게 강요하다, ⋯을 억지로 설득하다","Ted didn’t want to get another tattoo on his back, but Amber twisted his arm.",to persuade someone; to convince someone,to define,"Lesson 11, SELAA","March 30, 2023 12:48 AM"
talk sb into sth,⋯가 ⋯을 하도록 설득하다,"Chris didn’t want to jump out of the plane, but Erin talked him into it.",persuade; convince,to print,"Lesson 9, SELAA","March 27, 2023 11:17 PM"
,,,,,,"April 5, 2023 1:36 AM"
at first,처음에는,Don’t get discouraged if you don’t succeed at first. The important thing is that you keep on trying!,in the beginning,,Lesson 16,"April 5, 2023 7:13 PM"
get the hang of something,"요령을 알다, …의 방법을 배우다.","When I went snowboarding for the first time, I kept falling down. But after a while, I got the hang of it",to learn how to do something; to acquire an effective technique,,Lesson 16,"April 5, 2023 7:13 PM"
learn the ropes,일하는 법을 배우다.,Mark learned the ropes of the restaurant business by working as a cook at Outback Steakhouse.,to learn the basics,,Lesson 16,"April 5, 2023 7:13 PM"
second nature,"(제 2의 천성처럼) 습관, 행동","Karen has been arguing with her husband every day for the past 20 years, so by now it’s just second nature.","a behavior that has been practiced for so long, it seems to have been three always",,Lesson 16,"April 5, 2023 7:13 PM"
to tell you the truth,사실대로 말하자면,"To tell you the truth, Ted isn’t a very good student.",to speak openly; to admit,,Lesson 16,"April 5, 2023 7:13 PM"
pain in the neck,"귀찮은 존재[일]이다, 짜증 나는 존재[일]이다",Yesterday I had to stay home all day and wait for the repairman. What a pain in the neck!,an annoyance,,Lesson 16,"April 5, 2023 7:13 PM"
round up,"사람, 물건등을 모으다.",Let’s round up some volunteers to help bake cookies and pies for the bake sale.,to gather people together,,Lesson 16,"April 5, 2023 7:13 PM"
piece of cake,식은 죽 먹기다,Nicole finished her physics test in just 25 minutes. It was a piece of cake.,very easy,,Lesson 16,"April 5, 2023 7:14 PM"
in person,"(본인이) 직접, 개인적으로","After hearing so much about Donna’s boyfriend, I’m looking forward to meeting him in person.",personally; in one’s physical presense,,Lesson 16,"April 5, 2023 7:14 PM"
You guess is as good as mine,"나도 잘 모르겠어요, 당신이나 나나 모르기는 마찬가지예요",Will Ted graduate on time? You guess is as good as mine!,I don’t know; I don’t know any more than you do,,Lesson 16,"April 5, 2023 7:14 PM"
in any case,어쨌든,"You’ll probably be too tired on Sunday to come over. In any case, give me a call in the morning to discuss",Whatever the fact is; certainly,,Lesson 16,"April 5, 2023 7:14 PM"
keep somebody posted,(최근 소식 등을) ⋯에게 계속 알려주다,"Keep me posted about your plans for the summer. If you’re going to be at your cottage on the lake, I’d love to come visit.",to provide up-to-date information,,Lesson 16,"April 5, 2023 7:14 PM"
give (somebody) a ring,〘일상어〙 ⋯에게 전화하다,Give me a ring tomorrow so we can discuss plans for this weekend.,to telephone someone,,Lesson 16,"April 5, 2023 7:14 PM"
cottage,"ˈkɑːt̬ɪdʒ / (시골의) 작은 집, 오두막집",,,,Lesson 16,"April 5, 2023 7:27 PM"
insist,"⋯을 주장하다, 우기다",She has always insisted on her innocence. 그녀는 줄곧 자신의 결백을 주장해 왔다,,,Lesson 17,"April 7, 2023 12:18 AM"
sell like hotcakes,잘 팔린다.,Those new Fubu blue jeans are selling like hotcakes. All the girls love them.,to sell fast; to be a popular item,,Lesson 17,"April 7, 2023 12:18 AM"
sold out,"표가 다 팔린, <제품이> 다 팔린",Becky was really disappointed when she found out that the Britney Spears concert was sold out.,completely sold,,Lesson 17,"April 7, 2023 12:18 AM"
right away,곧,You need some sugar from your cookies? I’ll bring some over right away.,Immediately,,Lesson 17,"April 7, 2023 12:18 AM"
a tall order,"감당하기 힘든 일, 아주 어려운 요구",It’ll be a tall order to find a new governor as popular as the current one.,a task or goal that is difficult to achieve,,Lesson 17,"April 7, 2023 12:18 AM"
blow it,"망치다, 얼빠진 짓을 하다.",The actress got nervous and forgot all of her lines. She really blew it,to spoil an opportunity,,Lesson 17,"April 7, 2023 12:18 AM"
take off,(순식간에) 성공의 길에 있다.,Julia Roberts’ career took off with the film “Pretty Woman”,to become popular; to grow suddently,,Lesson 17,"April 7, 2023 12:18 AM"
burn the midnight oil,(공부∙일 등을 하느라) 늦은 밤까지 불을 밝히다,Michael burned the midnight oil studying for his algebra test.,to stay up late studying or working,,Lesson 17,"April 7, 2023 12:19 AM"
(to be) sitting pretty,"형편이 아주 좋다, 유리한 립장에 있다","After Chad won the lottery, he was really sitting pretty. He quit his job and bought a mansion in Malibu, California.",In a good position (often financially),,Lesson 17,"April 7, 2023 12:19 AM"
rest assured,(확실히 믿고) 안심하다. ⋯라는 것에 대해 안심하다[마음 푹 놓다],Rest assured that the police will find the thieves.,be sure,,Lesson 17,"April 7, 2023 12:19 AM"
do one’s best,최선을 다하다,"Although Ted did his best, he still failed his chemistry test.",to try as hard as possible,,Lesson 17,"April 7, 2023 12:19 AM"
deliver the goods,"(=come up with the goods) 기대에 부응하다, 약속을 지키다",I’m depending on you to finish the job on time. I know that you can deliver the goods!,to meet expectations; to do what’s required,,Lesson 17,"April 7, 2023 12:19 AM"
chitchat,"잡담, 수다","Okay, enough chitchat! Let’s start discussing this week’s reading assignment",casual conversation; gossip,,Lesson 17,"April 7, 2023 12:19 AM"
mansion,저택 (영국에서 아파트 이름에 쓰임),,,,Lesson 17,"April 10, 2023 3:30 AM"
lottery,"복권, win the lottery 복권에 당첨되다","If I won the lottery, I’d buy a beach house. 만약 복권에 당첨되면 해변가에 집을 살 수있을텐데",,,Lesson 17,"April 10, 2023 3:30 AM"
night owl,밤 늦게까지 자지 않고 활동하는 사람,I never go to bed before midnight. I’m a night owl.,a person who enjoys being active late at night,,Lesson 18,"April 10, 2023 3:06 AM"
stay up,(잘 시간에) 자지 않고 있다,"Whenever I stay up late, I regret it the next morning.",not to go to bed; to stay awake,,Lesson 18,"April 10, 2023 3:06 AM"
nothing doing,"(거절을 나타내어) 안 됩니다
(예상∙기대와 달리) 되지 않다, 아무 일도 일어나지 않다",You want me to buy the Golden Gate Bridge from you for a million bucks? Nothing doing!,Not a chance!,,Lesson 18,"April 10, 2023 3:06 AM"
lighten up,마음을 편하게 가지다,Don always takes his job so seriously. He needs to lighten up.,to stop taking things so seriously,,Lesson 18,"April 10, 2023 3:06 AM"
big shot,"〘일상어〙 거물, 유력자",Martin has become a real big shot in Hollywood. This year he produced several movies,a powerful or important person,,Lesson 18,"April 10, 2023 3:06 AM"
get on somebody’s nerves,"⋯의 신경에 거슬리다, ⋯을 짜증 나게 하다",My neighbor’s dog barks all night. It really gets on my nerves.,to annoy or irritate someone,,Lesson 18,"April 10, 2023 3:07 AM"
fool around,"(특별히 하는일이 없이) 놀다. 빈둥거리다,  [fool around with somebody]⋯와 바람피우다","If we keep fooling around here, we’ll be late the the restaurant!","to waste time, or spend it in a silly way",,Lesson 18,"April 10, 2023 3:07 AM"
get the show on the road,"지금 시작하다, 출발하다.",We can’t afford to waste any more time - let’s get the show on the road!,to start working; to begin an undertaking,,Lesson 18,"April 10, 2023 3:07 AM"
undertake,"<임무∙책임 등> 을 떠맡다, <행동∙계획 등> 에 착수하다",Baker undertook the job of writing the report. 베이커가 보고서를 작성하는 일을 맡았다,,,Lesson 18,"April 10, 2023 3:11 AM"
regret,⋯을 후회하다,Do you regret leaving your job? 직장을 그만둔 것을 후회하세요?,,,Lesson 18,"April 10, 2023 3:14 AM"
things are looking up,상황이 나아지고 있다,Elizabeth found a wonderful new job and just moved into a beautiful new apartment. Things are looking up for her.,things are improving,,Lesson 12,"April 10, 2023 3:54 AM"
like crazy,미친 듯이 많이[빠르게],"When Pete Sampras won the tennis match, the crowd started cheering like crazy.",with great speed or enthusiasm,,Lesson 12,"April 10, 2023 3:54 AM"
bite off more than you can chew,"과욕을 부리다, 무리를 하다",You agreed to host 50 exchange students from China? Aren’t you afraid you’ve bitten off more than you can chew?,to take on more than one is capable of; to take on too much,,Lesson 12,"April 10, 2023 3:54 AM"
like a chicken with its head cut off,"정신없이, 미친듯이","Ken was late for work, and he couldn’t find his car keys. He was running around his apartment like a chicken with its head cut off.",in a hysterical manner; in a frenzy; in a very nervous way,,Lesson 12,"April 10, 2023 3:54 AM"
pitch in,"두 팔 걷고 돕다, 돕기 위해 뛰어들다","If you need my help, just ask. I’d be happy to pitch in.",to help,,Lesson 12,"April 10, 2023 3:55 AM"
get going,"시작하다, 출발하다.","If you don’t get going on your homework soon, you’re going to be up all night",to get started on something; to set off for a destination; to leave,,Lesson 12,"April 10, 2023 3:55 AM"
never mind,신경 쓰지 마시오,Never mind what your friends say. You need to do what you think is right,don’t worry about something; forget it; it doesn’t matter,,Lesson 12,"April 10, 2023 3:55 AM"
help out,일을 도와주다,Amber offered to help out in the kitchen by chopping nuts.,to give assistance; to help,,Lesson 12,"April 10, 2023 3:55 AM"
for heaven’s sake,"(놀람∙화 등을 나타내며) 세상에, 도대체","Hurry up, for heaven’s sake! You’re going to be late for school.","a way of expressing emotions such as surprise, outrage, or impatience",,Lesson 12,"April 10, 2023 3:55 AM"
like pulling teeth,무척 힘든 일이다,It’s like pulling teeth getting Max to talk about his girlfriend.,very difficult,,Lesson 12,"April 10, 2023 3:55 AM"
outrage,"격분, 격노, 분개",,,,Lesson 12,"April 10, 2023 4:48 AM"
chop,<장작 등> 을 패다,,,,Lesson 12,"April 10, 2023 4:50 AM"
run around,"(이것저것 하느라) 분주히 움직이다, 이리저리 뛰어다니다",I’ve been running around all day making final arrangements for our trip to Costa Rica tomorrow.,to move about quickly,,Lesson 12,"April 10, 2023 4:55 AM"
in good spirits,행복한,"After she won the tennis tournament, Elizabeth was in good spirits.",happy; in a good mood,to learn,"Lesson 8, SELAA","March 24, 2023 12:05 AM"
good for you,(칭찬∙격려 등의 의미로) 잘했어요,You passed your math test? Good for you?,Good job! Well done,,Lesson 8,"April 10, 2023 5:15 AM"
beat around the bush,"말을 빙빙 돌리다, 에둘러 말하다","If you want something, tell me. Don’t beat around the bush!",to talk around the subject; to avoid getting to the point,,Lesson 8,"April 10, 2023 5:15 AM"
shell out,"(<돈>을) 쏟아붓다, 쓰다",How much am I going to have to shell out to get two tickets to the Rolling Stones concert?,to pay (often more than one would like),,Lesson 8,"April 10, 2023 5:15 AM"
